N0;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N1;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N2;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N3;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N4;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N5;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N6;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N7;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N8;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N1-N2;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N1-N3;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N2-N8;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N1-N2-N8;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;G1;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;G2;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31
Gemiddelde;7;23;11;83;76;13;28;;43;4.3;0;49;9;48;65;9;20;60;20;18;37;33;32;20;45;33;22;33;64;104;Mannen;6;20;12;81;76;13;22;;43;4.2;0;50;13;44;70;8;17;57;25;16;36;36;33;21;47;37;23;34;66;105;Laag;14;38;14;82;89;13;30;;43;3.8;0;;;;36;18;23;74;4;36;50;29;;;56;31;20;22;51;95;Niet-westers;14;23;15;76;91;22;34;;57;3.6;0;35;16;30;57;14;28;64;9;34;55;43;19;22;46;32;20;21;46;99;Surinaams;9;23;12;;;18;29;;;;0;31;16;27;61;14;20;69;11;30;53;41;24;22;50;33;20;24;;99;1e generatie;;26;16;75;92;;;;52;3.7;0;38;;29;47;20;23;64;13;30;51;36;22;21;47;36;21;22;45;99;Jongeren (16 t/m 29 jaar);6;11;6;85;73;12;27;;53;4.3;0;;;;68;11;42;50;8;17;34;44;22;24;20;34;11;37;50;108;Surinaams / Antilliaans;;;;;;;;;;;;;;;61;14;;;;;;;;;;;;;;;niet-westers;14;23;15;76;91;17;31;;57;3.6;0;;16;30;57;14;34;64;9;;55;43;19;22;46;32;20;21;46;99;Mannen laagopgeleid;11;34;13;79;87;14;27;;44;3.8;0;;;;45;17;17;77;6;32;53;35;;;56;30;19;24;51;96;Niet-westerse mannen;11;24;14;75;91;22;27;;62;3.6;0;35;19;26;65;13;23;66;11;30;58;51;19;22;47;31;21;20;49;99;Niet-westers laagopgeleid;21;35;13;77;90;16;33;;58;3.3;0;;;;40;19;30;67;2;49;71;46;;;51;29;24;16;39;95;Niet-westers laagopgeleid mannen;16;38;14;76;87;20;31;;60;3.3;0;;;;50;18;20;77;3;43;69;50;;;52;23;24;18;38;95;A;1~4;2~19;2~6;4~88;2~66;2~7;2~20;0~0;3~42;4~4.6;0~0;5~79;2~5;4~55;4~72;2~6;3~20;2~53;4~27;2~14;2~28;4~37;4~34;3~20;4~48;4~40;5~33;5~50;4~68;4~108;DX01;1~2;3~21;2~7;4~86;1~60;2~9;2~20;0~0;4~46;4~4.5;0~0;5~80;2~5;4~57;4~69;2~6;3~20;2~53;4~26;2~14;2~26;4~40;4~33;4~21;3~47;4~38;3~23;4~46;4~68;4~107
Gemiddeld-SD;5;18;7;78;67;8;20;;40;4.0;0;32;6;38;59;6;19;54;13;14;30;26;29;19;40;26;18;23;57;101;Vrouwen;9;25;10;86;76;14;33;;43;4.3;0;48;6;52;60;9;23;62;15;21;38;29;31;20;44;39;22;33;62;103;Midden;7;20;11;81;84;15;31;;45;4.2;0;;;;64;11;23;64;13;18;39;35;;;45;29;18;28;56;103;Westers;7;20;8;85;81;11;27;;39;4.5;0;64;7;45;71;6;21;55;24;15;29;29;36;21;42;41;24;34;60;108;Antilliaans;0;20;8;;;34;40;;;;0;25;14;40;0;0;22;65;13;30;38;62;20;22;42;33;26;18;;104;2e generatie;;17;8;85;82;;;;49;4.2;0;39;;37;46;31;31;54;15;17;37;41;27;23;39;33;21;31;58;107;Ouderen (65+);6;49;18;84;85;6;26;;37;4.1;0;;;;0;0;7;86;7;22;34;12;20;7;68;29;22;26;71;94;Turks;;;;;;;;;;;;;;;55;14;;;;;;;;;;;;;;;Nederlands/westers;4;22;9;87;68;9;25;;36;4.5;0;;6;59;69;6;12;58;25;;28;28;39;19;45;41;24;39;73;107;Mannen middenopgeleid;7;16;12;77;82;14;25;;46;4.3;0;;;;69;10;20;62;18;16;37;41;;;46;25;18;25;62;104;Westerse mannen;5;17;11;84;79;10;23;;36;4.4;0;65;9;44;74;6;18;52;30;13;20;26;36;21;44;44;20;40;62;110;Westers/Nederlands laagopgeleid;6;44;17;89;89;10;27;;27;4.3;0;;;;33;16;14;80;5;24;39;19;;;59;32;17;25;65;95;Westers/Nederlands laagopgeleid mannen;6;31;12;84;87;7;23;;25;4.3;0;;;;39;14;13;77;10;19;41;25;;;59;34;15;28;68;97;E;3~7;2~16;3~12;4~89;2~70;3~12;3~25;0~0;3~42;3~4.4;0~0;3~49;3~9;3~51;4~71;3~8;2~19;3~61;3~20;3~20;3~39;3~35;1~28;4~21;2~38;4~39;3~22;3~36;4~69;3~105;DX02;2~6;2~17;1~5;4~91;2~70;1~5;2~19;0~0;2~39;4~4.6;0~0;5~79;2~5;4~54;4~73;2~7;3~20;2~52;4~28;2~14;2~29;3~33;5~36;2~19;4~50;4~41;5~43;5~53;4~69;4~109
Gemiddeld+SD;10;27;15;89;85;18;36;;46;4.6;0;66;13;59;72;11;21;67;27;22;44;39;34;22;51;40;27;43;71;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hoog;4;13;5;88;66;13;26;;41;4.5;0;;;;84;4;12;48;39;7;22;32;;;37;51;30;46;77;114;Nederlands;4;23;9;88;64;9;25;;36;4.6;0;70;6;64;69;6;15;59;26;11;28;28;40;19;46;41;23;41;77;106;Turks;25;27;19;;;31;32;;;;0;28;16;26;55;14;32;61;7;33;70;45;21;24;49;23;13;12;;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Marokkaans;;;;;;;;;;;;;;;53;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mannen hoogopgeleid;3;12;5;86;67;12;19;;40;4.4;0;;;;86;4;10;42;48;6;22;32;;;39;51;31;47;79;114;Nederlandse mannen;3;18;10;85;65;9;20;;34;4.5;0;71;8;60;73;6;13;53;34;9;27;30;42;19;47;39;25;40;78;107;Niet-westers middenopgeleid;9;16;16;78;97;16;33;;56;3.6;0;;;;64;13;26;66;8;26;52;42;;;43;26;13;18;47;99;Niet-westers middenopgeleid mannen;9;15;15;74;95;14;28;;66;3.8;0;;;;71;14;24;65;11;22;57;50;;;45;25;16;16;58;100;F;4~10;3~25;3~12;2~77;4~82;4~17;4~38;0~0;4~46;1~3.8;0~0;2~40;4~12;2~40;3~63;4~10;5~22;4~63;2~15;3~19;3~38;2~28;3~32;3~20;3~47;3~31;3~21;2~24;2~58;2~102;DX03;2~5;2~18;3~9;4~89;3~74;2~10;2~22;0~0;3~42;4~4.6;0~0;3~56;3~9;3~47;4~74;2~6;1~18;3~62;3~20;3~20;2~30;2~25;2~29;5~23;2~38;4~41;3~23;3~36;3~66;3~105
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Marokkaans;17;26;15;;;19;48;;;;0;34;15;26;53;17;32;62;6;37;57;32;8;19;42;29;18;12;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(overig) niet-westers;;;;;;;;;;;;;;;57;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vrouwen laagopgeleid;16;43;16;85;92;12;33;;43;3.8;0;;;;29;20;28;71;2;42;46;22;;;56;32;21;20;52;95;Niet-westerse vrouwen;16;23;17;77;92;22;40;;51;3.6;0;34;10;34;50;16;33;61;7;38;53;34;19;22;45;32;18;22;42;98;Westers/Nederlands middenopgeleid;5;18;9;83;77;13;29;;40;4.5;0;;;;65;8;20;63;16;14;30;25;;;47;32;17;34;61;105;Westers/Nederlands middenopgeleid mannen;5;17;10;79;75;14;22;;36;4.5;0;;;;69;8;18;60;22;13;23;35;;;47;26;19;31;65;106;K;2~5;3~21;2~9;3~85;2~70;2~8;2~19;0~0;3~45;3~4.4;0~0;4~69;2~6;4~59;3~67;2~5;1~18;2~54;4~28;2~13;2~29;2~29;4~34;1~17;3~45;5~47;2~19;3~38;3~67;4~108;DX04;4~11;1~12;4~16;2~80;3~77;3~15;4~32;0~0;2~41;2~4.0;0~0;3~41;3~10;3~51;4~69;2~6;5~23;4~64;2~14;4~24;5~50;4~39;1~24;4~21;1~34;3~35;1~15;3~36;3~61;3~103
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(overig) niet-westers;10;21;19;;;19;37;;;;0;43;11;38;57;15;30;61;9;36;53;46;23;24;45;36;22;30;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Westers;;;;;;;;;;;;;;;71;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vrouwen middenopgeleid;7;23;10;85;86;16;36;;45;4.2;0;;;;59;11;25;66;9;21;40;30;;;44;33;18;29;50;103;Westerse vrouwen;8;24;6;86;83;11;31;;42;4.6;0;63;5;45;67;6;24;58;18;18;37;31;35;21;41;40;28;29;59;106;Niet-westers hoogopgeleid;7;13;5;82;88;19;30;;56;4.1;0;;;;81;5;17;55;28;12;25;40;;;38;46;29;29;57;112;Niet-westers hoogopgeleid mannen;7;16;5;83;89;19;22;;66;3.9;0;;;;81;7;13;52;36;12;25;48;;;40;45;24;25;62;111;M;2~7;4~27;3~11;3~85;3~76;3~12;3~29;0~0;3~42;3~4.3;0~0;3~56;3~8;4~56;3~68;3~7;3~20;2~57;3~23;3~18;3~38;3~30;4~33;3~21;2~42;4~38;3~22;3~36;4~69;3~104;DX05;3~7;2~18;3~12;5~93;2~67;3~12;2~23;0~0;3~42;4~4.5;0~0;3~51;3~9;4~54;4~71;3~9;2~19;3~59;3~23;3~18;3~39;4~39;2~29;3~20;2~39;4~40;3~24;3~35;4~73;3~105
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Westers;7;20;8;;;11;27;;;;0;64;7;45;71;6;21;55;24;15;29;29;36;21;42;41;24;34;;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nederlands;;;;;;;;;;;;;;;69;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vrouwen hoogopgeleid;5;15;4;89;65;13;32;;42;4.6;0;;;;81;4;15;54;31;8;23;33;;;34;51;29;45;75;113;Nederlandse vrouwen;5;27;9;91;63;10;31;;38;4.6;0;68;4;66;65;5;17;65;19;14;29;26;38;18;44;42;22;41;75;106;Westers/Nederlands hoogopgeleid;3;17;4;89;60;8;24;;37;4.6;0;;;;85;3;12;47;41;6;23;34;;;37;48;30;48;82;113;Westers/Nederlands hoogopgeleid mannen;2;11;5;87;61;7;17;;34;4.5;0;;;;72;7;10;40;50;5;21;30;;;39;52;32;50;83;115;N;4~10;5~30;5~17;3~83;4~82;4~20;4~37;0~0;1~36;3~4.3;0~0;3~41;4~13;2~34;1~54;4~12;3~20;4~69;2~12;4~21;4~45;2~27;3~31;3~21;4~52;4~41;3~21;2~27;3~62;2~101;DX06;5~13;3~24;4~15;2~77;4~87;4~18;5~45;0~0;5~50;1~3.6;0~0;2~35;4~13;2~33;2~56;5~13;5~24;4~67;2~10;5~25;4~46;2~26;1~25;3~21;2~40;2~28;5~30;1~14;2~54;2~100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nederlands;4;23;9;;;9;25;;;;0;70;6;64;69;6;15;59;26;11;28;28;40;19;46;41;23;41;;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Niet-westers laagopgeleid vrouwen;24;31;12;77;93;12;35;;56;3.2;0;;;;32;22;41;58;1;58;74;39;;;51;39;24;12;40;96;T;4~9;3~22;3~10;1~74;5~93;4~17;4~35;0~0;4~46;2~4.1;0~0;2~33;4~12;2~37;2~58;4~12;4~21;4~68;2~11;5~25;4~47;5~46;3~31;4~22;4~52;2~26;2~20;2~20;1~50;1~99;DX07;5~11;4~27;3~11;1~74;4~83;5~23;5~42;0~0;4~47;1~3.8;0~0;2~40;4~14;2~35;2~61;4~11;3~20;4~67;2~12;3~20;3~37;4~42;2~30;2~19;3~47;2~23;2~17;2~24;1~50;2~101
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Westers/Nederlands laagopgeleid vrouwen;7;47;17;93;90;13;31;;29;4.4;0;;;;27;17;15;83;2;29;36;16;;;60;29;19;23;63;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DX08;2~5;3~21;2~6;3~85;4~83;2~8;3~30;0~0;2~40;2~4.1;0~0;3~48;4~11;2~37;4~70;3~7;3~20;2~55;4~25;1~8;3~34;1~20;5~58;5~24;5~60;5~46;3~22;3~30;4~71;4~107
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Niet-westers middenopgeleid vrouwen;10;18;16;81;99;18;37;;47;3.5;0;;;;53;18;29;66;5;30;48;34;;;40;28;11;20;38;99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DX09;4~11;4~26;4~16;1~73;3~75;4~16;4~34;0~0;5~49;1~3.9;0~0;2~38;3~9;4~55;3~66;4~10;5~23;3~61;2~16;3~20;2~32;2~23;1~22;2~19;3~45;2~30;1~14;3~31;3~62;2~102
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Westers/Nederlands middenopgeleid vrouwen;6;27;6;87;78;12;35;;43;4.6;0;;;;62;8;23;66;11;16;34;27;;;46;36;22;36;57;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DX10;3~6;4~25;1~5;4~88;2~66;2~6;2~16;0~0;3~44;4~4.5;0~0;5~82;2~5;4~58;4~70;1~4;2~18;1~48;5~34;1~10;2~30;1~21;5~40;1~15;3~47;5~48;1~14;5~52;3~66;5~109
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Niet-westers hoogopgeleid vrouwen;5;9;6;81;86;19;36;;47;4.2;0;;;;77;8;21;57;21;13;25;31;;;37;48;34;33;53;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DX11;0~0;1~15;4~14;3~83;3~72;5~22;2~17;0~0;5~53;2~4.1;0~0;4~59;2~7;3~48;1~54;3~8;1~17;3~57;4~25;1~9;2~27;1~22;5~42;1~14;5~55;3~36;3~21;3~33;3~60;3~105
